Block,Round,Allele,Line,Genotype,Pupa
1,1,M,5,B,Norm
1,1,M,5,B,Tub
1,1,M,5,B,Norm
1,1,M,5,B,Tub
1,1,M,5,B,Norm
1,1,M,5,B,Tub
1,1,M,5,B,Norm
1,1,M,5,B,Norm
1,1,M,8,B,Tub
1,1,M,8,B,Tub
1,1,M,8,B,Norm
1,1,M,8,B,Norm
1,1,M,8,B,Tub
1,1,M,8,B,Tub
1,1,M,8,B,Tub
1,1,M,8,B,Tub
1,1,M,16,B,Tub
1,1,M,16,B,Tub
1,1,M,16,B,Norm
1,1,M,16,B,Tub
1,1,M,16,B,F
1,1,M,16,B,Tub
1,1,M,16,B,Norm
1,1,M,16,B,Norm
1,1,F,19,B,Tub
1,1,F,19,B,Tub
1,1,F,19,B,Tub
1,1,F,19,B,Norm
1,1,F,19,B,F
1,1,F,19,B,Norm
1,1,F,19,B,Norm
1,1,F,19,B,Norm
1,1,F,24,B,R
1,1,F,24,B,R
1,1,F,24,B,Norm
1,1,F,24,B,Norm
1,1,F,24,B,R
1,1,F,24,B,Norm
1,1,F,24,B,F
1,1,F,24,B,F
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,F,95,B,Norm
1,1,M,5,D,Norm
1,1,M,5,D,Tub
1,1,M,5,D,Norm
1,1,M,5,D,Norm
1,1,M,5,D,Norm
1,1,M,5,D,F
1,1,M,5,D,Tub
1,1,M,5,D,F
1,1,M,8,D,Tub
1,1,M,8,D,Norm
1,1,M,8,D,Tub
1,1,M,8,D,Norm
1,1,M,8,D,R
1,1,M,8,D,F
1,1,M,8,D,Norm
1,1,M,8,D,Norm
1,1,M,16,D,Norm
1,1,M,16,D,Norm
1,1,M,16,D,Tub
1,1,M,16,D,Norm
1,1,M,16,D,Tub
1,1,M,16,D,Tub
1,1,M,16,D,Tub
1,1,M,16,D,Norm
1,1,F,19,D,Tub
1,1,F,19,D,Norm
1,1,F,19,D,Norm
1,1,F,19,D,Tub
1,1,F,19,D,F
1,1,F,19,D,Tub
1,1,F,19,D,Norm
1,1,F,19,D,Norm
1,1,F,24,D,Norm
1,1,F,24,D,Norm
1,1,F,24,D,Norm
1,1,F,24,D,Tub
1,1,F,24,D,Norm
1,1,F,24,D,Tub
1,1,F,24,D,Norm
1,1,F,24,D,Norm
1,1,F,95,D,Tub
1,1,F,95,D,Tub
1,1,F,95,D,Norm
1,1,F,95,D,Tub
1,1,F,95,D,Tub
1,1,F,95,D,Norm
1,1,F,95,D,Tub
1,1,F,95,D,F
1,2,M,5,B,Norm
1,2,M,5,B,Tub
1,2,M,5,B,Tub
1,2,M,5,B,Tub
1,2,M,5,B,Tub
1,2,M,5,B,Norm
1,2,M,5,B,Tub
1,2,M,5,B,Norm
1,2,M,8,B,Norm
1,2,M,8,B,Norm
1,2,M,8,B,Norm
1,2,M,8,B,F
1,2,M,8,B,Norm
1,2,M,8,B,Norm
1,2,M,8,B,Norm
1,2,M,8,B,Tub
1,2,M,16,B,Norm
1,2,M,16,B,Tub
1,2,M,16,B,Norm
1,2,M,16,B,Tub
1,2,M,16,B,R
1,2,M,16,B,Norm
1,2,M,16,B,Tub
1,2,M,16,B,Norm
1,2,F,19,B,Norm
1,2,F,19,B,Norm
1,2,F,19,B,Tub
1,2,F,19,B,Norm
1,2,F,19,B,Tub
1,2,F,19,B,R
1,2,F,19,B,Tub
1,2,F,19,B,Tub
