Block,Round,Allele,Line,Genotype,Pupa
1,1,M,5,B,N
1,1,M,5,B,T
1,1,M,5,B,N
1,1,M,5,B,T
1,1,M,5,B,N
1,1,M,5,B,T
1,1,M,5,B,N
1,1,M,5,B,N
1,1,M,8,B,T
1,1,M,8,B,T
1,1,M,8,B,N
1,1,M,8,B,N
1,1,M,8,B,T
1,1,M,8,B,T
1,1,M,8,B,T
1,1,M,8,B,T
1,1,M,16,B,T
1,1,M,16,B,T
1,1,M,16,B,N
1,1,M,16,B,T
1,1,M,16,B,T
1,1,M,16,B,N
1,1,M,16,B,N
1,1,F,19,B,T
1,1,F,19,B,T
1,1,F,19,B,T
1,1,F,19,B,N
1,1,F,19,B,N
1,1,F,19,B,N
1,1,F,19,B,N
1,1,F,24,B,N
1,1,F,24,B,N
1,1,F,24,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,F,95,B,N
1,1,M,5,D,N
1,1,M,5,D,T
1,1,M,5,D,N
1,1,M,5,D,N
1,1,M,5,D,N
1,1,M,5,D,T
1,1,M,8,D,T
1,1,M,8,D,N
1,1,M,8,D,T
1,1,M,8,D,N
1,1,M,8,D,N
1,1,M,8,D,N
1,1,M,16,D,N
1,1,M,16,D,N
1,1,M,16,D,T
1,1,M,16,D,N
1,1,M,16,D,T
1,1,M,16,D,T
1,1,M,16,D,T
1,1,M,16,D,N
1,1,F,19,D,T
1,1,F,19,D,N
1,1,F,19,D,N
1,1,F,19,D,T
1,1,F,19,D,T
1,1,F,19,D,N
1,1,F,19,D,N
1,1,F,24,D,N
1,1,F,24,D,N
1,1,F,24,D,N
1,1,F,24,D,T
1,1,F,24,D,N
1,1,F,24,D,T
1,1,F,24,D,N
1,1,F,24,D,N
1,1,F,95,D,T
1,1,F,95,D,T
1,1,F,95,D,N
1,1,F,95,D,T
1,1,F,95,D,T
1,1,F,95,D,N
1,1,F,95,D,T
1,2,M,5,B,N
1,2,M,5,B,T
1,2,M,5,B,T
